Folder,Model,ID,Language,Words,Syllables,Phrases (Sentences),Avg Sentence Length,Has Pronunciation,Has Example,Compliance: Max 25 Words,Compliance: Max 2 Sentences,Compliance: Short Sentences (<15 words/sent),Compliance: No Double Negation,Compliance: No Self-Definition,Compliance: Active Voice Proxy,Compliance: Category+Function Pattern,Prompt Compliance Score
results_v5,ministral,T-078_D-078.1,es,25,61,2,12.5,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-079_D-079.1,es,122,213,8,15.25,False,False,False,False,False,True,False,True,False,0.286
results_v5,ministral,T-080_D-080.1,es,583,1129,48,12.15,False,True,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-081_D-081.1,es,21,40,2,10.5,False,True,True,True,True,True,False,True,False,0.714
results_v5,ministral,T-082_D-082.1,es,85,155,6,14.17,False,False,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-083_D-083.1,es,20,38,2,10.0,False,False,True,True,True,True,False,True,False,0.714
results_v5,ministral,T-084_D-084.1,es,20,39,3,6.67,False,False,True,False,True,True,True,True,False,0.714
results_v5,ministral,T-085_D-085.1,es,46,78,4,11.5,True,False,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-086_D-086.1,es,27,61,3,9.0,False,False,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-087_D-087.1,es,20,38,2,10.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-088_D-088.1,es,30,56,2,15.0,False,True,False,True,True,True,True,True,False,0.714
results_v5,ministral,T-089_D-089.1,es,26,57,2,13.0,False,False,False,True,True,True,True,True,False,0.714
results_v5,ministral,T-090_D-090.1,es,121,231,11,11.0,True,True,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-091_D-091.1,es,188,396,15,12.53,False,True,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-092_D-092.1,es,23,46,2,11.5,False,False,True,True,True,True,True,False,False,0.714
results_v5,ministral,T-093_D-093.1,es,18,35,2,9.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-094_D-094.1,es,403,800,35,11.51,False,True,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-095_D-095.1,es,122,243,10,12.2,False,False,False,False,True,True,True,False,False,0.429
results_v5,ministral,T-096_D-096.1,es,21,47,2,10.5,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-097_D-097.1,es,36,68,3,12.0,False,False,False,False,True,True,True,False,False,0.429
results_v5,ministral,T-098_D-098.1,es,22,48,2,11.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-099_D-099.1,es,31,63,3,10.33,False,False,False,False,True,True,True,True,False,0.571
results_v5,ministral,T-100_D-100.1,es,26,49,2,13.0,False,False,False,True,True,True,True,False,False,0.571
results_v5,ministral,T-101_D-101.1,es,191,346,12,15.92,True,True,False,False,False,True,False,True,False,0.286
results_v5,ministral,T-102_D-102.1,es,25,42,2,12.5,False,True,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-103_D-103.1,es,25,48,2,12.5,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-104_D-104.1,es,24,42,3,8.0,False,False,True,False,True,True,False,True,False,0.571
results_v5,ministral,T-105_D-105.1,es,81,156,7,11.57,False,True,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-106_D-106.1,es,91,167,8,11.38,False,False,False,False,True,True,False,False,False,0.286
results_v5,ministral,T-107_D-107.1,es,33,64,3,11.0,True,False,False,False,True,True,False,False,False,0.286
results_v5,ministral,T-108_D-108.1,es,141,270,10,14.1,False,True,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-109_D-109.1,es,50,83,6,8.33,False,False,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-110_D-110.1,es,33,65,3,11.0,False,False,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-111_D-111.1,es,102,189,7,14.57,False,False,False,False,True,True,False,False,False,0.286
results_v5,rigochat,T-001_D-001.1,es,29,55,4,7.25,True,False,False,False,True,True,True,True,False,0.571
results_v5,rigochat,T-002_D-002.1,es,15,33,2,7.5,True,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-003_D-003.1,es,4,11,1,4.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-004_D-004.1,es,12,21,1,12.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-005_D-005.1,es,35,64,2,17.5,False,False,False,True,False,True,True,True,False,0.571
results_v5,rigochat,T-006_D-006.1,unknown,0,0,1,0.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-007_D-007.1,es,26,64,2,13.0,False,False,False,True,True,True,True,True,False,0.714
results_v5,rigochat,T-008_D-008.1,es,27,55,1,27.0,False,False,False,True,False,True,True,True,False,0.571
results_v5,rigochat,T-009_D-009.1,es,17,40,2,8.5,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-010_D-010.1,es,136,296,14,9.71,True,False,False,False,True,True,True,False,False,0.429
results_v5,rigochat,T-011_D-011.1,es,61,138,7,8.71,False,False,False,False,True,True,True,True,False,0.571
results_v5,rigochat,T-012_D-012.1,es,26,68,3,8.67,False,False,False,False,True,True,False,True,False,0.429
results_v5,rigochat,T-013_D-013.1,es,27,52,2,13.5,False,False,False,True,True,True,True,True,False,0.714
results_v5,rigochat,T-014_D-014.1,es,14,27,1,14.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-015_D-015.1,es,10,19,1,10.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-016_D-016.1,es,19,43,2,9.5,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-017_D-017.1,es,58,105,2,29.0,False,False,False,True,False,True,True,True,False,0.571
results_v5,rigochat,T-018_D-018.1,es,23,56,4,5.75,True,False,True,False,True,True,True,True,False,0.714
results_v5,rigochat,T-019_D-019.1,es,21,45,3,7.0,False,False,True,False,True,True,True,True,False,0.714
results_v5,rigochat,T-020_D-020.1,it,5,12,1,5.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-021_D-021.1,es,77,156,6,12.83,False,False,False,False,True,True,False,False,False,0.286
results_v5,rigochat,T-022_D-022.1,es,65,135,6,10.83,True,False,False,False,True,True,True,True,False,0.571
results_v5,rigochat,T-023_D-023.1,es,5,12,1,5.0,True,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-024_D-024.1,es,33,78,4,8.25,False,False,False,False,True,True,True,True,False,0.571
results_v5,rigochat,T-025_D-025.1,es,12,31,1,12.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-026_D-026.1,es,42,88,4,10.5,True,False,False,False,True,True,True,True,False,0.571
results_v5,rigochat,T-027_D-027.1,es,8,15,1,8.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-028_D-028.1,es,16,37,1,16.0,False,False,True,True,False,True,True,True,False,0.714
results_v5,rigochat,T-029_D-029.1,es,12,27,1,12.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-030_D-030.1,es,56,109,4,14.0,False,False,False,False,True,True,True,False,False,0.429
results_v5,rigochat,T-031_D-031.1,pt,2,3,1,2.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-032_D-032.1,es,18,32,3,6.0,True,False,True,False,True,True,True,False,False,0.571
results_v5,rigochat,T-033_D-033.1,es,6,11,2,3.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-034_D-034.1,sl,5,12,2,2.5,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-035_D-035.1,es,6,13,1,6.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-036_D-036.1,es,50,100,5,10.0,True,False,False,False,True,True,True,True,False,0.571
results_v5,rigochat,T-037_D-037.1,es,11,27,1,11.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-038_D-038.1,es,31,65,8,3.88,False,False,False,False,True,True,True,True,False,0.571
results_v5,rigochat,T-039_D-039.1,es,83,156,4,20.75,False,False,False,False,False,True,False,True,False,0.286
results_v5,rigochat,T-040_D-040.1,es,15,28,1,15.0,False,False,True,True,True,True,True,False,False,0.714
results_v5,rigochat,T-041_D-041.1,es,31,60,3,10.33,False,False,False,False,True,True,True,True,False,0.571
results_v5,rigochat,T-042_D-042.1,es,10,22,1,10.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-043_D-043.1,es,81,157,2,40.5,False,False,False,True,False,True,False,True,False,0.429
results_v5,rigochat,T-044_D-044.1,es,31,55,1,31.0,False,False,False,True,False,True,False,True,False,0.429
results_v5,rigochat,T-045_D-045.1,es,34,82,2,17.0,False,False,False,True,False,True,False,True,False,0.429
results_v5,rigochat,T-046_D-046.1,es,27,56,2,13.5,False,False,False,True,True,True,True,True,False,0.714
results_v5,rigochat,T-047_D-047.1,es,38,81,3,12.67,False,False,False,False,True,True,False,True,False,0.429
results_v5,rigochat,T-048_D-048.1,es,10,14,1,10.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-049_D-049.1,es,2,4,1,2.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-050_D-050.1,es,21,33,1,21.0,False,False,True,True,False,True,False,True,False,0.571
results_v5,rigochat,T-051_D-051.1,es,11,21,1,11.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-052_D-052.1,es,5,8,1,5.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-053_D-053.1,es,12,29,1,12.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-054_D-054.1,es,9,23,1,9.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-055_D-055.1,es,11,24,1,11.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-056_D-056.1,es,19,34,1,19.0,False,False,True,True,False,True,True,True,False,0.714
results_v5,rigochat,T-057_D-057.1,es,20,38,2,10.0,False,False,True,True,True,True,False,True,False,0.714
results_v5,rigochat,T-058_D-058.1,es,14,29,1,14.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-059_D-059.1,es,26,60,2,13.0,False,False,False,True,True,True,True,True,False,0.714
results_v5,rigochat,T-060_D-060.1,es,34,64,3,11.33,False,False,False,False,True,True,True,True,False,0.571
results_v5,rigochat,T-061_D-061.1,es,18,36,2,9.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-062_D-062.1,es,9,22,2,4.5,True,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-063_D-063.1,es,27,54,2,13.5,False,False,False,True,True,True,True,True,False,0.714
results_v5,rigochat,T-064_D-064.1,es,35,66,2,17.5,False,False,False,True,False,True,False,True,False,0.429
results_v5,rigochat,T-065_D-065.1,es,24,58,3,8.0,False,False,True,False,True,True,False,True,False,0.571
results_v5,rigochat,T-066_D-066.1,es,13,27,1,13.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-067_D-067.1,es,7,19,1,7.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-068_D-068.1,es,29,59,2,14.5,False,False,False,True,True,True,True,True,False,0.714
results_v5,rigochat,T-069_D-069.1,es,22,44,4,5.5,True,False,True,False,True,True,True,True,False,0.714
results_v5,rigochat,T-070_D-070.1,es,1,1,1,1.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-071_D-071.1,es,10,24,2,5.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-072_D-072.1,es,49,105,4,12.25,False,False,False,False,True,True,True,True,False,0.571
results_v5,rigochat,T-073_D-073.1,es,20,40,2,10.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-074_D-074.1,es,15,30,1,15.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-075_D-075.1,es,29,57,3,9.67,False,False,False,False,True,True,True,True,False,0.571
results_v5,rigochat,T-076_D-076.1,es,42,87,3,14.0,False,False,False,False,True,True,False,True,False,0.429
results_v5,rigochat,T-076_D-076.2,es,11,29,1,11.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-076_D-076.3,es,25,52,3,8.33,False,False,True,False,True,True,True,False,False,0.571
results_v5,rigochat,T-077_D-077.1,es,17,30,2,8.5,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-078_D-078.1,es,9,22,1,9.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-079_D-079.1,es,34,70,3,11.33,False,False,False,False,True,True,True,False,False,0.429
results_v5,rigochat,T-080_D-080.1,es,4,6,1,4.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-081_D-081.1,es,10,24,1,10.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-082_D-082.1,unknown,0,0,1,0.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-083_D-083.1,es,8,13,2,4.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-084_D-084.1,es,6,11,2,3.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-085_D-085.1,es,21,42,3,7.0,False,False,True,False,True,True,True,True,False,0.714
results_v5,rigochat,T-086_D-086.1,ca,5,11,1,5.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-087_D-087.1,es,10,22,2,5.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-088_D-088.1,es,11,22,1,11.0,False,False,True,True,True,True,True,True,True,1.0
results_v5,rigochat,T-089_D-089.1,es,13,27,2,6.5,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-090_D-090.1,es,33,76,2,16.5,False,False,False,True,False,True,False,True,False,0.429
results_v5,rigochat,T-091_D-091.1,es,41,77,6,6.83,True,False,False,False,True,True,False,True,False,0.429
results_v5,rigochat,T-092_D-092.1,es,17,35,1,17.0,False,False,True,True,False,True,True,True,False,0.714
results_v5,rigochat,T-093_D-093.1,es,11,25,2,5.5,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-094_D-094.1,es,42,77,2,21.0,False,False,False,True,False,True,False,True,False,0.429
results_v5,rigochat,T-095_D-095.1,es,46,93,2,23.0,False,False,False,True,False,True,True,True,False,0.571
results_v5,rigochat,T-096_D-096.1,es,13,26,1,13.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-097_D-097.1,es,18,31,1,18.0,False,False,True,True,False,True,True,True,False,0.714
results_v5,rigochat,T-098_D-098.1,es,13,32,1,13.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-099_D-099.1,es,15,28,3,5.0,False,False,True,False,True,True,True,True,False,0.714
results_v5,rigochat,T-100_D-100.1,es,12,25,1,12.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-101_D-101.1,es,26,47,2,13.0,False,False,False,True,True,True,False,True,False,0.571
results_v5,rigochat,T-102_D-102.1,es,23,44,1,23.0,False,False,True,True,False,True,True,True,False,0.714
results_v5,rigochat,T-103_D-103.1,es,11,25,2,5.5,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-104_D-104.1,es,15,31,2,7.5,True,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-105_D-105.1,es,20,38,1,20.0,False,False,True,True,False,True,True,True,False,0.714
results_v5,rigochat,T-106_D-106.1,es,51,95,7,7.29,False,False,False,False,True,True,False,True,False,0.429
results_v5,rigochat,T-107_D-107.1,es,6,13,2,3.0,True,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-108_D-108.1,es,14,33,2,7.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,rigochat,T-109_D-109.1,es,49,92,3,16.33,False,False,False,False,False,True,True,True,False,0.429
results_v5,rigochat,T-110_D-110.1,es,22,48,3,7.33,True,False,True,False,True,True,True,True,False,0.714
results_v5,rigochat,T-111_D-111.1,es,53,99,3,17.67,False,False,False,False,False,True,False,True,False,0.286
results_v5,llama,T-001_D-001.1,es,75,164,6,12.5,False,False,False,False,True,True,True,True,False,0.571
results_v5,llama,T-002_D-002.1,es,22,43,2,11.0,True,False,True,True,True,True,True,True,False,0.857
results_v5,llama,T-003_D-003.1,es,27,60,3,9.0,False,False,False,False,True,True,False,True,False,0.429
results_v5,llama,T-004_D-004.1,es,33,69,3,11.0,False,False,False,False,True,True,False,True,False,0.429
results_v5,llama,T-005_D-005.1,es,68,129,3,22.67,False,False,False,False,False,True,False,False,False,0.143
results_v5,llama,T-006_D-006.1,es,28,59,3,9.33,False,False,False,False,True,True,False,True,False,0.429
results_v5,llama,T-007_D-007.1,es,32,86,3,10.67,False,False,False,False,True,True,True,True,False,0.571
results_v5,llama,T-008_D-008.1,es,349,548,8,43.62,False,False,False,False,False,True,True,True,False,0.429
results_v5,llama,T-009_D-009.1,es,272,487,4,68.0,False,False,False,False,False,True,True,True,False,0.429
results_v5,llama,T-010_D-010.1,es,12,27,2,6.0,False,False,True,True,True,True,False,True,False,0.714
results_v5,llama,T-011_D-011.1,es,83,167,10,8.3,True,False,False,False,True,True,False,True,False,0.429
results_v5,llama,T-012_D-012.1,es,51,95,4,12.75,False,False,False,False,True,True,False,True,False,0.429
results_v5,llama,T-013_D-013.1,es,118,222,6,19.67,False,False,False,False,False,True,True,True,False,0.429
results_v5,llama,T-014_D-014.1,es,23,48,2,11.5,False,False,True,True,True,True,False,True,False,0.714
results_v5,llama,T-015_D-015.1,es,41,99,3,13.67,False,False,False,False,True,True,False,True,False,0.429
results_v5,llama,T-016_D-016.1,es,5,11,2,2.5,False,False,True,True,True,True,True,True,False,0.857
results_v5,llama,T-017_D-017.1,es,73,143,4,18.25,False,False,False,False,False,True,False,True,False,0.286
results_v5,llama,T-018_D-018.1,es,80,185,6,13.33,False,False,False,False,True,True,False,True,False,0.429
results_v5,llama,T-019_D-019.1,es,48,96,4,12.0,True,False,False,False,True,True,False,True,False,0.429
results_v5,llama,T-020_D-020.1,es,21,38,1,21.0,False,False,True,True,False,True,True,True,False,0.714
results_v5,llama,T-021_D-021.1,es,23,51,2,11.5,False,False,True,True,True,True,True,True,False,0.857
results_v5,llama,T-022_D-022.1,es,73,164,7,10.43,False,False,False,False,True,True,False,True,False,0.429
results_v5,llama,T-023_D-023.1,es,32,72,4,8.0,False,False,False,False,True,True,True,True,False,0.571
results_v5,llama,T-024_D-024.1,es,435,612,1,435.0,False,False,False,True,False,True,True,True,False,0.571
results_v5,llama,T-025_D-025.1,es,43,82,2,21.5,False,False,False,True,False,True,False,True,False,0.429
results_v5,llama,T-026_D-026.1,es,48,91,3,16.0,False,False,False,False,False,True,True,True,False,0.429
results_v5,llama,T-027_D-027.1,es,52,107,3,17.33,False,False,False,False,False,True,False,False,False,0.143
results_v5,llama,T-028_D-028.1,es,59,119,2,29.5,False,False,False,True,False,True,False,True,False,0.429
results_v5,llama,T-029_D-029.1,es,27,58,3,9.0,False,False,False,False,True,True,False,True,False,0.429
